sensor_no,correlation,abs_correlation
88,0.7214819257794228,0.7214819257794228
50,0.3401271005372494,0.3401271005372494
98,-0.33718785864086054,0.33718785864086054
41,-0.3371878570320141,0.3371878570320141
38,-0.3290492420399338,0.3290492420399338
60,0.2893827955178596,0.2893827955178596
6,-0.28409219222975346,0.28409219222975346
3,-0.2840341032537886,0.2840341032537886
7,-0.28217179492572697,0.28217179492572697
2,-0.281315007503779,0.281315007503779
5,-0.2812140829991936,0.2812140829991936
102,0.2756537014961249,0.2756537014961249
44,0.27203670836490623,0.27203670836490623
51,0.2610634396509353,0.2610634396509353
9,-0.2604337291841711,0.2604337291841711
32,0.2523548127292544,0.2523548127292544
68,0.19105714256320933,0.19105714256320933
13,-0.1852011437300763,0.1852011437300763
104,-0.15867220443339375,0.15867220443339375
40,0.15744771709125727,0.15744771709125727
54,-0.15226781039851447,0.15226781039851447
77,0.1408595273526096,0.1408595273526096
10,-0.13533502580151197,0.13533502580151197
75,-0.11753015516641185,0.11753015516641185
36,-0.10317213133188505,0.10317213133188505
8,-0.10315361685646605,0.10315361685646605
34,-0.09752696790010813,0.09752696790010813
43,0.0894382083011198,0.0894382083011198
99,0.08943688991729877,0.08943688991729877
66,0.08819083555392565,0.08819083555392565
74,-0.08470907565158892,0.08470907565158892
56,-0.07804589450269102,0.07804589450269102
53,0.07772132135067909,0.07772132135067909
14,0.0686327981341751,0.0686327981341751
49,0.06746191809444764,0.06746191809444764
76,-0.06703849686531829,0.06703849686531829
15,0.06372455502764199,0.06372455502764199
52,-0.06316550552779636,0.06316550552779636
20,-0.062092931426097016,0.062092931426097016
12,-0.057204390298595004,0.057204390298595004
83,-0.055403869535657416,0.055403869535657416
31,-0.05410722245287763,0.05410722245287763
57,-0.053226498389398816,0.053226498389398816
70,0.05067882627726748,0.05067882627726748
82,-0.05006115232486258,0.05006115232486258
71,0.04710952785706039,0.04710952785706039
62,0.04673163867134709,0.04673163867134709
61,0.044256040703615766,0.044256040703615766
1,0.04262661802308275,0.04262661802308275
105,0.04107618294591997,0.04107618294591997
4,0.04006186626502128,0.04006186626502128
58,0.037991776695686964,0.037991776695686964
35,0.035957553490845465,0.035957553490845465
107,-0.03435846155973794,0.03435846155973794
87,0.03370109807397285,0.03370109807397285
91,-0.03297437234018161,0.03297437234018161
108,0.032527179679108745,0.032527179679108745
59,0.032342184662871365,0.032342184662871365
19,0.03160743504564624,0.03160743504564624
33,0.031020110859828965,0.031020110859828965
17,-0.029463999373787964,0.029463999373787964
78,-0.027833913292394052,0.027833913292394052
80,-0.02764116518367775,0.02764116518367775
90,-0.025505430291751542,0.025505430291751542
94,-0.025478229958689425,0.025478229958689425
27,-0.02459843346741199,0.02459843346741199
26,-0.022748055165486492,0.022748055165486492
37,0.022668621560274153,0.022668621560274153
84,0.021681100787960896,0.021681100787960896
39,-0.021301265779273708,0.021301265779273708
30,-0.021147176833443724,0.021147176833443724
65,-0.020641085386863267,0.020641085386863267
18,-0.020319853528178826,0.020319853528178826
16,-0.019893050819105546,0.019893050819105546
72,-0.018560526099387624,0.018560526099387624
101,-0.01827398110185858,0.01827398110185858
11,-0.01728028875564245,0.01728028875564245
89,0.01641126798779144,0.01641126798779144
29,0.01631631131468714,0.01631631131468714
69,0.01618588387483003,0.01618588387483003
106,0.015611264135272824,0.015611264135272824
86,-0.015244679110389948,0.015244679110389948
48,-0.014034116828243886,0.014034116828243886
92,0.013925313684486606,0.013925313684486606
93,0.013098777317728216,0.013098777317728216
47,-0.012735223100194487,0.012735223100194487
28,0.012594835891616135,0.012594835891616135
96,0.011648100150703328,0.011648100150703328
24,-0.011024178128253726,0.011024178128253726
79,-0.009734561091885382,0.009734561091885382
42,-0.00917779192810804,0.00917779192810804
45,-0.007937649862147875,0.007937649862147875
46,-0.007771737466598542,0.007771737466598542
63,-0.006544696708933145,0.006544696708933145
95,0.0050930147505088745,0.0050930147505088745
97,-0.0048091507365183575,0.0048091507365183575
73,-0.00449113410148005,0.00449113410148005
85,-0.004415633478688782,0.004415633478688782
23,-0.0036493731908187922,0.0036493731908187922
100,-0.0035866186593004243,0.0035866186593004243
64,0.0033437816516305287,0.0033437816516305287
22,0.001969776174006224,0.001969776174006224
25,0.0018801231870205417,0.0018801231870205417
81,0.0017505358763044274,0.0017505358763044274
21,0.0015852093421295625,0.0015852093421295625
67,0.0014934332431911297,0.0014934332431911297
103,0.00035011024618907005,0.00035011024618907005
55,0.0002432834497602654,0.0002432834497602654
