sensor_no,correlation,abs_correlation
40,0.3456314101117729,0.3456314101117729
39,0.3143259599178537,0.3143259599178537
79,0.24394485052307535,0.24394485052307535
80,0.19864925543795225,0.19864925543795225
33,-0.18274217638693024,0.18274217638693024
8,0.18170400621924224,0.18170400621924224
67,0.1554259188729618,0.1554259188729618
22,0.15432774442613442,0.15432774442613442
50,-0.1447345017007358,0.1447345017007358
55,-0.14374683531297758,0.14374683531297758
15,0.13366423340322733,0.13366423340322733
51,-0.12716320655924043,0.12716320655924043
16,0.12032128957137443,0.12032128957137443
18,0.11545975372711068,0.11545975372711068
23,0.09369767236562809,0.09369767236562809
45,-0.08899795399312967,0.08899795399312967
9,-0.08820126747372072,0.08820126747372072
12,-0.08756552470330402,0.08756552470330402
68,0.08719104648895307,0.08719104648895307
43,-0.08303213868208317,0.08303213868208317
90,-0.07357257042973583,0.07357257042973583
36,-0.07357242825923502,0.07357242825923502
4,-0.0731530829443687,0.0731530829443687
71,-0.07266243816136686,0.07266243816136686
1,-0.07107225452094774,0.07107225452094774
66,0.06825435881343381,0.06825435881343381
59,0.06715603300821237,0.06715603300821237
76,-0.06314201820459994,0.06314201820459994
63,-0.05972096678060674,0.05972096678060674
73,0.05755489827175242,0.05755489827175242
82,-0.05450406986756684,0.05450406986756684
37,-0.05433667908429039,0.05433667908429039
70,0.05382785068668277,0.05382785068668277
64,-0.0515879546606822,0.0515879546606822
91,-0.05053947506331932,0.05053947506331932
41,-0.047134444353719496,0.047134444353719496
93,-0.0464781310272721,0.0464781310272721
5,0.044249487549286225,0.044249487549286225
2,0.044078517548053815,0.044078517548053815
97,-0.04360581127438663,0.04360581127438663
92,-0.04317207767099202,0.04317207767099202
7,0.04311064273343056,0.04311064273343056
48,0.040804811333894485,0.040804811333894485
3,0.03993479014230758,0.03993479014230758
6,0.03986759697878596,0.03986759697878596
58,0.038972036240356216,0.038972036240356216
85,-0.0386480527071268,0.0386480527071268
81,-0.038647628264190506,0.038647628264190506
47,0.03804032803159194,0.03804032803159194
75,-0.0369118582143909,0.0369118582143909
60,0.03662323535355333,0.03662323535355333
34,0.033987302385627735,0.033987302385627735
89,0.03361313597784009,0.03361313597784009
69,-0.03248848704740499,0.03248848704740499
72,-0.030585314467887995,0.030585314467887995
74,-0.03028576572154347,0.03028576572154347
87,0.027342061297816366,0.027342061297816366
86,0.027238453061179838,0.027238453061179838
65,0.026737753270546883,0.026737753270546883
57,0.0259380883140049,0.0259380883140049
88,0.0255134021124513,0.0255134021124513
52,-0.023705046271489852,0.023705046271489852
25,0.02363171834089184,0.02363171834089184
20,0.02353400727453471,0.02353400727453471
21,0.02162850886692182,0.02162850886692182
42,-0.021398424251368852,0.021398424251368852
96,-0.02139291635065489,0.02139291635065489
53,-0.021313193509641077,0.021313193509641077
56,-0.021291317839405372,0.021291317839405372
84,-0.021264729883138062,0.021264729883138062
29,0.020721913377019084,0.020721913377019084
49,-0.019203187187684916,0.019203187187684916
61,-0.018211752999034853,0.018211752999034853
78,0.01767272411749904,0.01767272411749904
77,0.016548704538912842,0.016548704538912842
14,-0.016435513671545086,0.016435513671545086
26,0.016060849686615756,0.016060849686615756
83,0.01544834267589069,0.01544834267589069
31,0.012966398059491924,0.012966398059491924
17,0.01270380588691878,0.01270380588691878
44,0.011270891727063087,0.011270891727063087
10,0.010833796388432924,0.010833796388432924
24,-0.01075681102071852,0.01075681102071852
62,-0.010422850377660272,0.010422850377660272
11,0.010362496213499228,0.010362496213499228
27,0.010342170542411952,0.010342170542411952
46,-0.008048306858645321,0.008048306858645321
32,0.006207985891225911,0.006207985891225911
54,-0.005633616922115909,0.005633616922115909
19,-0.005152000433595982,0.005152000433595982
94,-0.004666717419800293,0.004666717419800293
28,0.004205122911433553,0.004205122911433553
35,0.004057341596068311,0.004057341596068311
38,-0.002989772356881631,0.002989772356881631
30,-0.0021489405184216873,0.0021489405184216873
95,0.0021263335228670606,0.0021263335228670606
13,0.001881161697402619,0.001881161697402619
