sensor_no,correlation,abs_correlation
88,0.9539132484107241,0.9539132484107241
35,-0.952947908249156,0.952947908249156
39,-0.9492524061826367,0.9492524061826367
67,0.9484831206089508,0.9484831206089508
70,-0.9472044028463755,0.9472044028463755
50,0.9425665393547239,0.9425665393547239
32,0.9389333912340213,0.9389333912340213
64,-0.930572460883096,0.930572460883096
15,-0.9266216984992527,0.9266216984992527
66,-0.9227616466101857,0.9227616466101857
63,-0.919236908571226,0.919236908571226
60,0.9115746878313455,0.9115746878313455
48,-0.9091156589104031,0.9091156589104031
51,0.9081436249502816,0.9081436249502816
72,0.9041452423514478,0.9041452423514478
18,-0.8851154422018108,0.8851154422018108
53,0.8589630814086473,0.8589630814086473
79,-0.8583342246921032,0.8583342246921032
58,0.8538872495756867,0.8538872495756867
16,-0.8437811032821829,0.8437811032821829
97,-0.83684323967594,0.83684323967594
77,0.8337909174932333,0.8337909174932333
69,-0.8330101981173357,0.8330101981173357
22,-0.8325641313535312,0.8325641313535312
47,-0.8321894954917978,0.8321894954917978
59,0.8193541213440233,0.8193541213440233
74,0.7928155796829065,0.7928155796829065
44,0.7847438435757339,0.7847438435757339
68,-0.7811648929609181,0.7811648929609181
56,0.7768846615232039,0.7768846615232039
95,-0.7747071403460626,0.7747071403460626
40,-0.7597904633595456,0.7597904633595456
21,-0.7355966356400397,0.7355966356400397
82,-0.7347015888330963,0.7347015888330963
94,-0.7062207567643477,0.7062207567643477
13,0.7004722031014274,0.7004722031014274
57,0.6999329437931348,0.6999329437931348
42,-0.6971381956324922,0.6971381956324922
38,0.6933276294782847,0.6933276294782847
31,0.679915660780265,0.679915660780265
87,-0.6760983554101035,0.6760983554101035
45,-0.675014670369204,0.675014670369204
73,-0.6583086584022486,0.6583086584022486
37,-0.6519769810377809,0.6519769810377809
41,0.6153767338095909,0.6153767338095909
36,0.6118072935701206,0.6118072935701206
10,-0.6087616411773806,0.6087616411773806
2,0.5924937210525154,0.5924937210525154
30,0.5821862602155818,0.5821862602155818
83,-0.5781547875232023,0.5781547875232023
91,0.5582581923536807,0.5582581923536807
49,-0.5506123897177894,0.5506123897177894
25,0.5488384116259004,0.5488384116259004
78,0.545052176199149,0.545052176199149
90,0.5384981262498992,0.5384981262498992
52,0.5186695292781957,0.5186695292781957
96,-0.5122856311354513,0.5122856311354513
20,-0.4943694408702137,0.4943694408702137
26,0.46491349042318575,0.46491349042318575
17,-0.44061947892853637,0.44061947892853637
29,-0.41872831211888834,0.41872831211888834
80,-0.4084821297406498,0.4084821297406498
5,-0.3915185379840945,0.3915185379840945
8,0.3834392894186798,0.3834392894186798
54,0.37263905000314995,0.37263905000314995
89,0.3676298847951381,0.3676298847951381
12,-0.3592546698327733,0.3592546698327733
23,-0.35717808182837496,0.35717808182837496
11,0.3553324986245831,0.3553324986245831
55,0.3393035752965617,0.3393035752965617
98,-0.3371878586408606,0.3371878586408606
92,-0.3284791198727925,0.3284791198727925
43,-0.32760490208052456,0.32760490208052456
4,-0.3103900576214443,0.3103900576214443
33,0.29695983566081796,0.29695983566081796
46,-0.2813777623598452,0.2813777623598452
102,0.27565370149612495,0.27565370149612495
28,0.23189364110128932,0.23189364110128932
34,-0.21611392938647886,0.21611392938647886
6,-0.20969536823477247,0.20969536823477247
14,-0.1932000454594611,0.1932000454594611
81,0.18942749908347373,0.18942749908347373
84,-0.17706754043987077,0.17706754043987077
76,0.17074738783082752,0.17074738783082752
104,-0.15867220443339386,0.15867220443339386
1,-0.14800194149179266,0.14800194149179266
75,-0.14194573312229183,0.14194573312229183
27,0.13222197133619573,0.13222197133619573
93,0.1223218602262959,0.1223218602262959
71,0.11417636170697322,0.11417636170697322
7,0.09966603601897259,0.09966603601897259
62,0.09898757322152299,0.09898757322152299
24,-0.0904408770433345,0.0904408770433345
99,0.08943688991729878,0.08943688991729878
61,0.067097772831452,0.067097772831452
9,0.06593011556791024,0.06593011556791024
3,-0.05767469173692541,0.05767469173692541
65,0.050943598886630956,0.050943598886630956
105,0.041076182945920005,0.041076182945920005
19,-0.04075334137315185,0.04075334137315185
107,-0.03435846155973799,0.03435846155973799
108,0.03252717967910873,0.03252717967910873
101,-0.018273981101858593,0.018273981101858593
106,0.015611264135272824,0.015611264135272824
86,-0.013307778589850596,0.013307778589850596
85,-0.005525311004322295,0.005525311004322295
100,-0.003586618659300418,0.003586618659300418
103,0.00035011024618907433,0.00035011024618907433
