RAW_VALUE_t_1,RAW_VALUE_t_2,RAW_VALUE_t_3,RAW_VALUE_t_4,RAW_VALUE_t_5,RAW_VALUE_t_6,RAW_VALUE_t_7,RAW_VALUE_t_8,RAW_VALUE_t_9,RAW_VALUE_t_10,RAW_VALUE_t_11,RAW_VALUE_t_12,RAW_VALUE_t_13,RAW_VALUE_t_14,RAW_VALUE_t_15,RAW_VALUE_t_16,RAW_VALUE_t_17
0.5669097881109953,0.9158563898955189,0.6327349320781575,0.5835881125826609,0.8928823059210101,0.6371210871826318,0.48176364570437935,0.7938269663567071,0.5492554997902681,0.6969966694409605,0.5927383460664722,0.9258294592486054,0.5657029245698056,0.9027534861563927,0.8733818331854126,0.9486683916927517,0.830449303376176
0.5745773248984304,0.9249209094045677,0.6367716448047006,0.5888535692375421,0.8987086178682925,0.6418613323457812,0.48444247805759466,0.7999642851080074,0.5542983436444613,0.7037102976054531,0.5978702797986496,0.9340968189243959,0.5689504391748487,0.9053626002782321,0.8774456068056165,0.9545287103960675,0.835513018640665
0.5655156905132798,0.9101910652023634,0.6279067070522923,0.5811747782825071,0.8890727942631717,0.6326218714345577,0.47774539717455633,0.7898024950443792,0.5489791795790795,0.6972582393694472,0.5887061124197617,0.9227291993701838,0.5649969431339266,0.904228202833954,0.8826076976204698,0.9463242642114253,0.8288991864584755
0.5933976424675891,0.9657112471952872,0.6668491121789439,0.6129137808966518,0.9357953343019548,0.6666070189601886,0.5022810662278693,0.82723007824903,0.5706012361045925,0.7222817625280107,0.6117998142145592,0.9605064401109493,0.5894239008153385,0.938033246673437,0.9045740415134631,0.9791420489499936,0.8644485344377444
0.601762228053882,0.9691104420111807,0.6684321367775882,0.6136450943209408,0.9346748896967079,0.6625898620422653,0.5004545896234043,0.823205606936702,0.5699104355766209,0.7222817625280107,0.6103335474339371,0.9547652181138726,0.5873059565077015,0.935764451784881,0.907868993097412,0.9791420489499936,0.8592814780454088
0.6003681304561664,0.9645781822566563,0.6668491121789439,0.6136450943209408,0.929072666670475,0.6625898620422653,0.4980192874841176,0.823205606936702,0.5664564329367625,0.7179222637198985,0.605934747092071,0.9490239961167958,0.5830700678924279,0.9334956568963253,0.9045740415134631,0.9697655390246883,0.8551478329315403
0.5982769840595934,0.9634451173180252,0.6621000383830108,0.6085259003509175,0.9223499990389954,0.6577692737407574,0.49680163641447433,0.8161627821401278,0.5623116297689326,0.7118189653885416,0.6030022135308268,0.9444310185191342,0.579540160713033,0.9232860798978237,0.8902959179830173,0.966249347802699,0.8479139539822705
0.5954887888641623,0.9600459225021317,0.6565594522877554,0.6048693332294722,0.9223499990389954,0.6577692737407574,0.49375750874036606,0.8121383108277999,0.5623116297689326,0.7153065644350313,0.6015359467502047,0.9409862853208881,0.5774222164053961,0.9210172850092677,0.8913942351776669,0.9639052203213727,0.8448137201468691
0.6045504232493127,0.9747757667043362,0.6692236490769105,0.6136450943209408,0.9346748896967079,0.665803587576604,0.5010634151582259,0.8242117247647841,0.5706012361045925,0.7248974618128778,0.6117998142145592,0.9570617069127032,0.5865999750718226,0.9312268620077694,0.9045740415134631,0.9779699852093304,0.8603148893238759
0.5864271544790117,0.9453160782999275,0.650227353893178,0.5975561989865817,0.9122659975917761,0.6505383912884954,0.48998279042447174,0.8074095570358144,0.5580977465483055,0.7083313663420521,0.6000696799695826,0.9409862853208881,0.5760102535336382,0.915345297787878,0.8859026492044186,0.9592169653587199,0.8458471314253362
0.5878212520767273,0.9464491432385587,0.6486443292945334,0.5990188258351599,0.9167477760127625,0.6545555482064187,0.491931032135901,0.8095224044747866,0.5623116297689326,0.7161784641966537,0.60520161370176,0.943282774119719,0.5788341792771541,0.9232860798978237,0.8924925523723165,0.9697655390246883,0.8468805427038032
0.5836389592835808,0.9419168834840341,0.6486443292945334,0.5960935721380037,0.90778421917079,0.6478870677226661,0.4889477870152749,0.8037875328547192,0.5567852255451592,0.7074594665804295,0.5964040130180275,0.9340968189243959,0.5738923092260014,0.9142109003436002,0.8831568562177945,0.9557007741367306,0.8417134863114677
0.5850330568812964,0.9407838185454032,0.6478528169952112,0.5968248855622927,0.910025108381283,0.6492529010747601,0.48888690446179267,0.805699156728075,0.5581668266011026,0.7083313663420521,0.5971371464083385,0.9352450633238113,0.5753042720977594,0.9176140926764339,0.8870009663990682,0.9545287103960675,0.8417134863114677
0.5996710816573088,0.9679773770725495,0.6644745752809772,0.6107198406237847,0.9346748896967079,0.6650001561930193,0.5016722406930476,0.82723007824903,0.5712920366325642,0.7257693615745003,0.6125329476048703,0.9582099513121185,0.5865999750718226,0.935764451784881,0.9100656274867115,0.9803141126906567,0.8592814780454088
0.5829419104847231,0.9419168834840341,0.6470613046958892,0.5946309452894256,0.910025108381283,0.6491725579364016,0.4887042568013462,0.8072083334701978,0.5574069460203338,0.704059057510102,0.5956708796277164,0.9340968189243959,0.5760102535336382,0.9164796952321561,0.884804332009769,0.9533566466554043,0.8427468975899349
0.5836389592835808,0.9453160782999275,0.6470613046958892,0.5946309452894256,0.9111455529865295,0.6505383912884954,0.4900436729779539,0.8066046627733489,0.5595484276570459,0.7100751658652967,0.5986034131889606,0.9375415521226421,0.5745982906618804,0.9187484901207118,0.8891976007883677,0.9592169653587199,0.8417134863114677
0.5815478128870076,0.9373846237295097,0.6438952554986004,0.5938996318651365,0.9034144852103281,0.6451554010184783,0.48718219296429205,0.803686921071911,0.5545055838028529,0.7010945983205857,0.5912720792858502,0.9260591081284886,0.5688798410312608,0.9116017862217608,0.8820585390231449,0.9474963279520885,0.8313793735267964
0.5759714224961457,0.9328523639749855,0.6399376940019894,0.5879028617859663,0.9006133736972115,0.6441912833581768,0.4862080721085774,0.8016746854157469,0.5523641021661406,0.7023152579868572,0.5942046128470945,0.9318003301255654,0.5717743649183645,0.9116017862217608,0.8788734191586609,0.951012519174078,0.8375798411975994
0.578062568892719,0.9317192990363542,0.6399376940019894,0.5902430647436913,0.901733818302458,0.6452357441568367,0.48803454871304236,0.8016746854157469,0.5573378659675365,0.7074594665804295,0.5949377462374055,0.9283555969273191,0.5710683834824856,0.9130765028993221,0.8859026492044186,0.9533566466554043,0.8344796073621978
0.572486178501857,0.9215217145886744,0.6351886202060564,0.5837343752675187,0.8924341280789115,0.637683489151141,0.48145923293696846,0.7971471551893777,0.5518114617437633,0.697868569202583,0.5859202055365795,0.9175620995728148,0.5640791672672839,0.9051357207893765,0.8773357750861512,0.9387058498971148,0.8253855881116873
0.580153715289292,0.9328523639749855,0.642312230899956,0.5938996318651365,0.9030783518287541,0.6446733421883276,0.48748660573170294,0.8065040509905406,0.557476026073131,0.7065875668188071,0.5942046128470945,0.9283555969273191,0.5710683834824856,0.9130765028993221,0.8870009663990682,0.9498404554334148,0.8344796073621978
